Rank,Ligand,Initial_1VYW_Affinity,Mean_Affinity,Median_Affinity,Best_Affinity,Worst_Affinity,SD_Affinity,Successful_Receptors,Receptor,Affinity
52,ligand_382,-10.23,-9.41,-9.951,-10.41,-7.98,1.109,5,7RWF,-10.41
52,ligand_382,-10.23,-9.41,-9.951,-10.41,-7.98,1.109,5,5A14,-9.95
52,ligand_382,-10.23,-9.41,-9.951,-10.41,-7.98,1.109,5,5IF1,-7.98
52,ligand_382,-10.23,-9.41,-9.951,-10.41,-7.98,1.109,5,1W98,-8.47
53,ligand_4583,-10.27,-9.405,-9.358,-10.7,-8.25,1.082,5,1VYW,-10.27
53,ligand_4583,-10.27,-9.405,-9.358,-10.7,-8.25,1.082,5,7RWF,-9.36
53,ligand_4583,-10.27,-9.405,-9.358,-10.7,-8.25,1.082,5,5A14,-10.7
53,ligand_4583,-10.27,-9.405,-9.358,-10.7,-8.25,1.082,5,5IF1,-8.25
53,ligand_4583,-10.27,-9.405,-9.358,-10.7,-8.25,1.082,5,1W98,-8.44
54,ligand_4042,-10.17,-9.384,-9.629,-10.93,-7.13,1.439,5,1VYW,-10.19
54,ligand_4042,-10.17,-9.384,-9.629,-10.93,-7.13,1.439,5,7RWF,-9.63
54,ligand_4042,-10.17,-9.384,-9.629,-10.93,-7.13,1.439,5,5A14,-10.93
54,ligand_4042,-10.17,-9.384,-9.629,-10.93,-7.13,1.439,5,5IF1,-7.13
54,ligand_4042,-10.17,-9.384,-9.629,-10.93,-7.13,1.439,5,1W98,-9.04
55,ligand_2780,-10.14,-9.38,-10.02,-11.77,-7.42,1.861,5,1VYW,-10.02
